type,name,usage_count,node_types,civitai_name,civitai_id,version,download_url,page_url,workflows
vae,Wan2_1_VAE_bf16.safetensors,36,WanVideoVAELoader; VAELoader,Wan 2.2 image to video,2572452,,https://civitai.com/api/download/models/2890303,https://civitai.com/models/2572452,1 (1)(1)_20260406_094458.json; 1超级王炸 【分段队列】【 自动拼接长视频】【人物丝滑换装】By_肥猴(1).json; 2026-01-07 单人+多人动作迁移+自动对齐3D骨骼+镜头控制+人物360旋转.json
vae,taeltx2_3.safetensors,29,VAELoaderKJ; VAELoader,Pony Diffusion V6 XL,257749,,https://civitai.com/api/download/models/290640,https://civitai.com/models/257749,LTX-2.3-图-文-生视频(1).json; LTX-2.3三图首尾.json; LTX-2.3四宫格.json
vae,Wan\wan_2.1_vae.safetensors,15,WanVideoVAELoader; VAELoader,Wan Vace 2.1 Flow Archive,2570937,,https://civitai.com/api/download/models/2917676,https://civitai.com/models/2570937,AI代码侠土豆-I2V数字人合集(1).json; Jwx-DasiwaV9单图漫剧视频生成(1).json; Jwx-DasiwaV9双图首尾帧图生视频(1).json
vae,ace_1.5_vae.safetensors,10,VAELoader,Miles Edgeworth's Open Hands Pose - Ace Attorney,2549196,,https://civitai.com/api/download/models/2864763,https://civitai.com/models/2549196,ACE-Step1.5XL_双采推荐_三采实验_工作流.json; ACE-Step1.5XL_双采推荐_三采实验_工作流.json; ACE-Step1.5XL_双采推荐_三采实验_工作流.json
vae,z_image_turbo-vae.safetensors,9,VAELoader,Eldritch Ink Art for Z-Image,2597137,,https://civitai.com/api/download/models/2917439,https://civitai.com/models/2597137,Flux2-Klein高清放大到8K-更强-嘟嘟.json; KOOK_Qwen_2512+Zimage_真实人像 (1).json; KOOK_Qwen_2512+Zimage_真实人像(2).json
vae,LTX2_audio_vae_bf16.safetensors,9,VAELoaderKJ,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,LTX-2 - T2V Basic.json; LTX2-I2V(1).json; LTX2-IS2V(1).json
vae,ae.sft,8,VAELoader,Kojika Kumari - Mahou Tsukai no Yoru,2599176,,https://civitai.com/api/download/models/2919694,https://civitai.com/models/2599176,07_修手(1).json; DBZ_00100_(1).json; llama-z反推(1).json
vae,z-image vae.safetensors,8,VAELoader,Eldritch Ink Art for Z-Image,2597137,,https://civitai.com/api/download/models/2917439,https://civitai.com/models/2597137,For循环Zimage文图+seedvr2(1).json; For循环Zimage文图+seedvr2(1).json; For循环Zimage文图+seedvr2(1)_20260317_114852.json
vae,ltx-2.3-22b-dev.safetensors,8,LTXVAudioVAELoader,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,LTX+2.3+多帧生视频+电影级效果（支持音频传入）.json; LTX2.3局部重绘.json; ltx2.3数字人.json
vae,LTX2_video_vae_bf16.safetensors,8,VAELoader,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,LTX-2 - T2V Basic.json; LTX2-I2V(1).json; LTX2-IS2V(1).json
